Reference,ElevationFeet
US-0001,135
US-0002,49
US-0003,200
US-0004,4111
US-0005,2648
US-0006,2684
US-0007,26
US-0008,6240
US-0009,8232
US-0010,4793
US-0011,5525
US-0012,4400
US-0013,6204
US-0014,689
US-0015,367
US-0016,79
US-0017,157
US-0018,6188
US-0019,1801
US-0020,663
US-0021,3812
US-0022,0
US-0023,3
US-0024,20
US-0026,0
US-0027,515
US-0028,8133
US-0029,23
US-0030,4121
US-0031,6818
US-0032,6864
US-0033,8051
US-0034,5016
US-0035,7615
US-0036,115
US-0037,3993
US-0038,581
US-0039,922
US-0040,0
US-0041,3120
US-0043,75
US-0044,62
US-0045,0
US-0046,4629
US-0047,0
US-0048,0
US-0049,6719
US-0050,761
US-0051,6975
US-0052,6896
US-0054,850
US-0055,5669
US-0056,1739
US-0057,5758
US-0058,187
US-0059,8625
US-0060,2644
US-0061,141
US-0062,335
US-0063,6854
US-0064,587
US-0065,2264
US-0067,1125
US-0068,4219
US-0069,0
US-0070,7887
US-0071,4019
US-0072,6125
US-0117,6089
US-0118,30
US-0119,0
US-0121,0
US-0123,7
US-0124,16
US-0125,3
US-0126,0
US-0127,0
US-0128,1316
US-0129,36
US-0136,26
US-0137,381
US-0138,66
US-0139,279
US-0140,850
US-0141,541
US-0142,0
US-0143,52
US-0144,102
US-0145,30
US-0146,0
US-0147,20
US-0148,0
US-0149,0
US-0150,971
US-0151,0
US-0152,0
US-0153,0
US-0154,0
US-0155,98
US-0156,0
US-0157,0
US-0158,1404
US-0159,945
US-0160,518
US-0161,581
US-0162,194
US-0163,223
US-0164,200
US-0165,141
US-0166,315
US-0168,138
US-0169,312
US-0170,236
US-0171,187
US-0172,492
US-0173,3494
US-0174,883
US-0175,220
US-0176,203
US-0177,1332
US-0178,4803
US-0179,3776
US-0180,177
US-0181,2963
US-0183,5673
US-0184,6211
US-0185,4797
US-0187,46
US-0188,5020
US-0189,0
US-0190,4803
US-0191,5443
US-0192,5912
US-0193,92
US-0194,725
US-0195,6634
US-0196,0
US-0197,2799
US-0198,92
US-0199,4068
US-0200,223
US-0201,1224
US-0202,4357
US-0203,92
US-0204,220
US-0205,92
US-0206,82
US-0207,7
US-0208,810
US-0209,10
US-0210,43
US-0211,92
US-0212,3
US-0213,161
US-0214,-226
US-0215,3
US-0217,36
US-0218,4072
US-0219,436
US-0220,7523
US-0221,8228
US-0222,7562
US-0223,5377
US-0224,7625
US-0225,5830
US-0226,5259
US-0227,5551
US-0228,112
US-0229,-3
US-0230,3
US-0231,10
US-0232,56
US-0234,0
US-0235,26
US-0236,33
US-0237,23
US-0238,20
US-0239,30
US-0240,13
US-0241,43
US-0243,0
US-0244,0
US-0245,112
US-0246,36
US-0247,56
US-0249,16
US-0250,7
US-0252,30
US-0256,43
US-0257,26
US-0258,23
US-0259,240
US-0260,33
US-0261,341
